name,prompt,negative_prompt
---Motion---,,
Motion_Hello,"waving, (head tilt:1.2)",
---base---,,
base_Orangemix beautify,"masterpiece, best quality
","(worst quality, low quality:1.4), (lip, nose, tooth, rouge, lipstick, eyeshadow:1.4), (jpeg artifacts:1.4), (chromatic aberration, lens flare:1.0), (abs, muscular, rib:1.0), greyscale, monochrome, dusty sunbeams, text, title, logo, signature,"
base_basic beautify,"masterpiece, best quality, ","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
base_beautify 0.1,"masterpiece, best quality","EasyNegative, (low quality:1.4)"
base_beautify 0.2,"highres, masterpiece, best quality","badhandv4, EasyNegative"
---crowd---,,
crowd_solo,(solo:1.5),
---people---,,
people_poster girl,"(short black hair:1.3), (blue x hair ornament:1.5), blue eyes, 1girl, white thighhighs",
---quality---,,
quality_dof,"depth of field, bokeh, blurry",
quality_highres,"highres,",
